idx,label,pred,correct,conflict,path,rel_text,rel_visual,rel_audio,pred_text,pred_visual,pred_audio,n_available
197,3,3,1,0,unanimous,-1.0000,0.9631,0.9451,-1,3,3,2
198,3,3,1,1,pick_text,0.1882,0.1131,-1.0000,3,0,-1,2
199,2,2,1,1,pick_text,0.6898,0.1267,0.6384,2,3,2,3
200,2,2,1,1,pick_text,0.6741,0.1315,0.6278,2,1,2,3
201,1,1,1,1,pick_text,0.6608,0.1061,0.5655,1,3,1,3
202,3,3,1,1,pick_text,0.6449,0.6331,0.1412,3,3,0,3
203,3,3,1,1,pick_text,0.6863,0.1222,0.6515,3,1,3,3
204,2,2,1,1,pick_text,0.6899,0.1233,0.6368,2,0,2,3
205,0,0,1,1,pick_visual,0.6578,0.6751,0.1437,0,0,3,3
206,1,1,1,1,pick_audio,0.6456,0.1216,0.6664,1,2,1,3
207,3,3,1,1,pick_text,0.7011,0.1082,0.6327,3,1,3,3
208,3,3,1,0,unanimous,0.9496,0.9738,-1.0000,3,3,-1,2
209,2,2,1,1,pick_audio,0.6627,0.1257,0.6683,2,0,2,3
210,2,2,1,1,pick_visual,0.1748,0.7031,0.6453,3,2,2,3
211,3,3,1,1,pick_audio,-1.0000,0.1126,0.1448,-1,0,3,2
212,0,0,1,1,pick_text,0.6755,0.1287,0.6264,0,1,0,3
213,1,0,0,1,pick_text,0.6757,0.6530,0.1478,0,0,2,3
214,3,3,1,0,unanimous,0.9604,0.9712,-1.0000,3,3,-1,2
215,3,3,1,0,unanimous,0.9570,0.9655,0.9526,3,3,3,3
216,2,2,1,1,pick_audio,0.1599,0.6323,0.6546,0,2,2,3
217,3,3,1,0,unanimous,-1.0000,-1.0000,0.6602,-1,-1,3,1
218,1,1,1,0,unanimous,0.9484,0.9691,0.9529,1,1,1,3
219,1,1,1,0,unanimous,0.9286,0.9717,-1.0000,1,1,-1,2
220,0,0,1,1,pick_visual,0.1769,0.6871,0.6503,2,0,0,3
221,1,1,1,0,unanimous,0.9450,0.9683,0.9529,1,1,1,3
222,3,3,1,0,unanimous,0.9513,-1.0000,0.9532,3,-1,3,2
223,2,2,1,0,unanimous,0.9487,0.9672,0.9510,2,2,2,3
224,2,2,1,1,pick_text,0.1548,0.1134,-1.0000,2,3,-1,2
225,3,3,1,0,unanimous,0.9473,0.9714,0.9508,3,3,3,3
226,0,0,1,1,pick_text,0.6870,0.6667,0.1454,0,0,2,3
227,3,3,1,0,unanimous,0.9500,0.9674,0.9530,3,3,3,3
228,0,0,1,0,unanimous,0.9460,0.9676,0.9520,0,0,0,3
229,0,0,1,0,unanimous,0.9300,0.9711,0.9543,0,0,0,3
230,3,3,1,1,pick_text,0.7013,0.1129,0.6324,3,2,3,3
231,1,1,1,0,unanimous,0.9336,0.9766,0.9518,1,1,1,3
232,0,0,1,1,pick_audio,-1.0000,0.1214,0.1403,-1,2,0,2
233,0,0,1,0,unanimous,0.9486,0.9709,0.9542,0,0,0,3
234,1,1,1,0,unanimous,0.9499,0.9744,0.9533,1,1,1,3
235,2,2,1,1,pick_text,0.6719,0.6564,0.1418,2,2,3,3
236,1,1,1,1,pick_text,0.6892,0.1267,0.6472,1,3,1,3
237,0,0,1,0,unanimous,0.9415,0.9647,0.9503,0,0,0,3
238,3,3,1,0,unanimous,-1.0000,0.9648,0.9486,-1,3,3,2
239,0,0,1,1,pick_visual,0.6910,0.7087,0.1400,0,0,3,3
240,2,2,1,0,unanimous,0.9351,0.9671,0.9539,2,2,2,3
241,0,0,1,0,unanimous,0.9528,0.9675,0.9367,0,0,0,3
242,2,2,1,1,pick_visual,0.1459,0.7148,0.6297,1,2,2,3
243,0,0,1,0,unanimous,0.9412,-1.0000,0.9541,0,-1,0,2
244,0,0,1,1,pick_visual,0.1713,0.6722,0.6550,2,0,0,3
245,0,0,1,0,unanimous,0.9484,-1.0000,0.9529,0,-1,0,2
246,0,0,1,0,unanimous,0.9441,0.9584,-1.0000,0,0,-1,2
247,0,0,1,0,unanimous,0.9557,0.9665,0.9518,0,0,0,3
248,3,3,1,1,pick_visual,0.1802,0.6561,0.6168,0,3,3,3
249,0,0,1,1,pick_audio,0.1639,0.6390,0.6443,3,0,0,3
250,2,2,1,0,unanimous,0.9405,0.9688,0.9503,2,2,2,3
251,3,3,1,1,pick_text,0.6686,0.1207,0.6323,3,2,3,3
252,0,0,1,1,pick_visual,-1.0000,0.1381,0.1346,-1,0,2,2
253,1,1,1,0,unanimous,0.9296,0.9724,0.9493,1,1,1,3
254,0,0,1,0,unanimous,0.9553,0.9630,0.9488,0,0,0,3
255,2,2,1,0,unanimous,0.9361,0.9675,0.9528,2,2,2,3
256,3,3,1,1,pick_text,0.7007,0.6783,0.1259,3,3,2,3
257,1,1,1,1,pick_text,0.6660,0.1081,0.6536,1,2,1,3
258,3,3,1,0,unanimous,0.9463,0.9671,0.9535,3,3,3,3
259,2,2,1,1,pick_text,0.1532,0.1172,-1.0000,2,0,-1,2
260,0,1,0,1,pick_visual,0.1454,0.6518,0.6271,3,1,1,3
261,3,3,1,1,pick_text,0.1471,0.1011,-1.0000,3,0,-1,2
262,0,2,0,1,pick_text,0.1789,-1.0000,0.1553,2,-1,0,2
263,3,3,1,1,pick_audio,-1.0000,0.1308,0.1473,-1,0,3,2
264,2,2,1,0,unanimous,0.9516,0.9693,0.9497,2,2,2,3
265,2,2,1,0,unanimous,0.9507,0.9685,0.9506,2,2,2,3
266,3,3,1,1,pick_audio,0.6634,0.1167,0.6690,3,0,3,3
267,3,3,1,0,unanimous,-1.0000,0.9686,0.9519,-1,3,3,2
268,3,2,0,1,pick_text,0.6953,0.1365,0.6381,2,3,2,3
269,0,0,1,0,unanimous,0.9501,0.9594,0.9533,0,0,0,3
270,3,3,1,0,unanimous,0.9406,0.9699,0.9485,3,3,3,3
271,3,3,1,0,unanimous,0.9511,0.9575,-1.0000,3,3,-1,2
272,3,3,1,0,unanimous,0.9452,-1.0000,0.9549,3,-1,3,2
273,3,3,1,1,pick_text,0.6757,0.6423,0.1361,3,3,2,3
274,2,1,0,1,pick_text,0.1726,0.1497,0.1210,1,0,2,3
275,1,1,1,0,unanimous,0.9589,0.9632,0.9461,1,1,1,3
276,1,2,0,1,pick_text,0.1783,0.1279,0.1313,2,1,3,3
277,2,2,1,1,pick_text,0.6891,0.6505,0.1424,2,2,1,3
278,1,1,1,1,pick_text,0.6664,0.1172,0.6525,1,0,1,3
279,0,0,1,1,pick_text,0.6369,0.1318,0.6288,0,3,0,3
280,3,3,1,0,unanimous,0.9481,0.9708,0.9517,3,3,3,3
281,3,3,1,0,unanimous,0.9468,0.9621,0.9547,3,3,3,3
282,1,1,1,1,pick_visual,0.1761,0.6761,0.6480,3,1,1,3
283,3,3,1,0,unanimous,0.9457,0.9626,0.9526,3,3,3,3
284,2,2,1,1,pick_text,0.6831,0.1194,0.6410,2,0,2,3
285,2,2,1,1,pick_text,0.6829,0.1213,0.6179,2,3,2,3
286,0,0,1,0,unanimous,0.9421,0.9658,0.9512,0,0,0,3
287,1,1,1,1,pick_audio,0.1616,0.6247,0.6386,3,1,1,3
288,0,0,1,0,unanimous,0.9431,0.9712,-1.0000,0,0,-1,2
289,0,0,1,1,pick_visual,0.6479,0.6634,0.1471,0,0,1,3
290,0,0,1,0,unanimous,0.9290,0.9675,0.9536,0,0,0,3
291,2,1,0,1,pick_text,0.1687,0.1340,-1.0000,1,2,-1,2
292,3,1,0,1,pick_text,0.1562,0.1028,-1.0000,1,3,-1,2
293,1,1,1,0,unanimous,0.9285,0.9708,0.9523,1,1,1,3
294,3,3,1,1,pick_visual,0.6291,0.6539,0.1331,3,3,0,3
295,1,1,1,1,pick_visual,0.1794,0.6837,0.6555,0,1,1,3
296,0,0,1,1,pick_text,0.7019,0.1168,0.6112,0,1,0,3
297,1,1,1,0,unanimous,0.9281,-1.0000,0.9540,1,-1,1,2
298,2,2,1,1,pick_text,0.6782,0.1182,0.5996,2,3,2,3
299,0,1,0,1,pick_audio,0.1537,-1.0000,0.1562,0,-1,1,2
300,3,3,1,0,unanimous,0.9211,0.9581,0.9549,3,3,3,3
301,3,3,1,0,unanimous,-1.0000,0.6609,-1.0000,-1,3,-1,1
302,2,2,1,0,unanimous,0.9425,0.9717,0.9547,2,2,2,3
303,3,3,1,1,pick_audio,0.1833,0.6040,0.6430,2,3,3,3
304,2,2,1,0,unanimous,0.9560,0.9718,0.9507,2,2,2,3
305,3,3,1,0,unanimous,0.9465,0.9731,0.9511,3,3,3,3
306,2,2,1,0,unanimous,0.9534,0.9633,-1.0000,2,2,-1,2
307,1,1,1,0,unanimous,0.9473,-1.0000,0.9513,1,-1,1,2
308,0,0,1,1,pick_text,0.6396,0.6326,0.1549,0,0,1,3
309,3,3,1,0,unanimous,0.9388,0.9658,-1.0000,3,3,-1,2
310,3,3,1,0,unanimous,0.9545,0.9717,0.9459,3,3,3,3
311,3,3,1,1,pick_text,0.6592,0.1400,0.6363,3,1,3,3
312,2,2,1,0,unanimous,0.9418,0.9615,-1.0000,2,2,-1,2
313,1,1,1,0,unanimous,0.9523,0.9653,0.9503,1,1,1,3
314,0,0,1,0,unanimous,-1.0000,0.9683,0.9545,-1,0,0,2
315,1,1,1,0,unanimous,-1.0000,0.9610,0.9407,-1,1,1,2
316,2,2,1,1,pick_visual,0.1468,0.6810,0.6391,1,2,2,3
317,3,1,0,1,pick_text,0.6687,0.6460,0.1414,1,1,3,3
318,3,3,1,1,pick_audio,-1.0000,0.1071,0.1456,-1,1,3,2
319,3,3,1,0,unanimous,0.9451,-1.0000,0.9537,3,-1,3,2
320,0,0,1,1,pick_visual,0.6664,0.6785,0.1487,0,0,2,3
321,2,2,1,0,unanimous,0.9505,-1.0000,0.9486,2,-1,2,2
322,0,3,0,1,pick_visual,0.6569,0.7029,0.1455,3,3,0,3
323,3,3,1,0,unanimous,0.9399,0.9504,0.9537,3,3,3,3
324,1,1,1,1,pick_visual,0.1582,0.6426,0.6313,3,1,1,3
325,2,2,1,0,unanimous,0.9547,0.9694,-1.0000,2,2,-1,2
326,2,2,1,0,unanimous,0.9362,0.9700,0.9525,2,2,2,3
327,2,2,1,0,unanimous,0.9610,0.9651,-1.0000,2,2,-1,2
328,0,0,1,0,unanimous,0.9547,-1.0000,0.9482,0,-1,0,2
329,1,1,1,0,unanimous,0.9495,0.9678,0.9541,1,1,1,3
330,3,3,1,1,pick_text,0.6620,0.1267,0.6557,3,0,3,3
331,2,2,1,0,unanimous,0.9562,0.9695,0.9524,2,2,2,3
332,3,3,1,0,unanimous,0.9608,0.9564,0.9540,3,3,3,3
333,1,1,1,1,pick_text,0.6683,0.1057,0.6414,1,2,1,3
334,3,3,1,1,pick_text,0.1547,0.1287,0.1521,3,1,0,3
335,3,0,0,1,pick_text,0.1737,0.1130,0.1540,0,2,3,3
336,0,0,1,0,unanimous,0.9471,0.9655,0.9448,0,0,0,3
337,3,3,1,0,unanimous,0.9458,0.9712,0.9519,3,3,3,3
338,3,3,1,1,pick_visual,0.1891,0.6927,0.6467,1,3,3,3
339,1,1,1,1,pick_visual,0.6683,0.6714,0.1440,1,1,0,3
340,0,1,0,1,pick_text,0.1713,0.1527,-1.0000,1,2,-1,2
341,2,2,1,0,unanimous,0.9351,-1.0000,0.9481,2,-1,2,2
342,3,3,1,1,pick_text,0.6859,0.1259,0.6555,3,1,3,3
343,3,3,1,1,pick_text,0.6862,0.1269,0.6503,3,2,3,3
344,1,1,1,0,unanimous,0.9516,0.9691,0.9545,1,1,1,3
345,1,1,1,0,unanimous,0.9452,0.9619,0.9507,1,1,1,3
346,1,1,1,0,unanimous,0.9152,0.9715,0.9552,1,1,1,3
347,3,3,1,1,pick_visual,0.6504,0.6553,0.1428,3,3,1,3
348,2,3,0,1,pick_visual,0.1720,0.6469,0.6330,2,3,3,3
349,0,0,1,0,unanimous,-1.0000,0.9648,0.9519,-1,0,0,2
350,2,2,1,1,pick_text,0.6842,0.1403,0.6374,2,0,2,3
351,2,2,1,0,unanimous,0.9489,0.9700,-1.0000,2,2,-1,2
352,0,0,1,1,pick_visual,0.6732,0.6779,0.1438,0,0,1,3
353,2,2,1,0,unanimous,0.9361,0.9597,-1.0000,2,2,-1,2
354,2,2,1,1,pick_text,0.6967,0.6514,0.1420,2,2,3,3
355,0,0,1,1,pick_text,0.6937,0.1432,0.6237,0,2,0,3
356,2,2,1,1,pick_visual,0.1432,0.6928,0.6417,1,2,2,3
