image_path,original_path,original_label,confidence,label_7,label_4,label_3,arousal,valence
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000965.jpg,anger/image0000965.jpg,anger,0.8771937422265705,0,1,1,0.814,-0.7018
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000972.jpg,anger/image0000972.jpg,anger,0.7781220459279947,0,1,1,0.7447,-0.6225
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000996.jpg,anger/image0000996.jpg,sad,0.7939921582791681,3,2,1,0.2794,-0.5558
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001015.jpg,anger/image0001015.jpg,disgust,0.7153702537940787,3,2,1,0.3431,-0.4292
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001021.jpg,anger/image0001021.jpg,anger,0.8248463847646784,0,1,1,0.7774,-0.6599
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001061.jpg,anger/image0001061.jpg,anger,0.809063702840611,0,1,1,0.7663,-0.6473
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001062.jpg,anger/image0001062.jpg,anger,0.8256761193251171,0,1,1,0.778,-0.6605
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001063.jpg,anger/image0001063.jpg,fear,0.8336841540008251,1,1,1,0.7002,-0.5002
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001066.jpg,anger/image0001066.jpg,anger,0.8994690885656528,0,1,1,0.8296,-0.7196
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001086.jpg,anger/image0001086.jpg,anger,0.8333730095057175,0,1,1,0.7834,-0.6667
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001113.jpg,anger/image0001113.jpg,anger,0.8733009856946506,0,1,1,0.8113,-0.6986
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001120.jpg,anger/image0001120.jpg,anger,0.8700022201657778,0,1,1,0.809,-0.696
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001152.jpg,anger/image0001152.jpg,anger,0.8807410104989579,0,1,1,0.8165,-0.7046
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001161.jpg,anger/image0001161.jpg,anger,0.8317483787895507,0,1,1,0.7822,-0.6654
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001241.jpg,anger/image0001241.jpg,anger,0.8514328973856861,0,1,1,0.796,-0.6811
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001244.jpg,anger/image0001244.jpg,anger,0.8045184782593185,0,1,1,0.7632,-0.6436
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001258.jpg,anger/image0001258.jpg,anger,0.8006804554086124,0,1,1,0.7605,-0.6405
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001283.jpg,anger/image0001283.jpg,sad,0.7370122093626421,3,2,1,0.2737,-0.5159
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001296.jpg,anger/image0001296.jpg,anger,0.8199635450088529,0,1,1,0.774,-0.656
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001305.jpg,anger/image0001305.jpg,anger,0.8852957701257068,0,1,1,0.8197,-0.7082
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001314.jpg,anger/image0001314.jpg,anger,0.8825045191840863,0,1,1,0.8178,-0.706
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001322.jpg,anger/image0001322.jpg,contempt,0.8314046570015194,4,2,1,0.3663,-0.3326
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001341.jpg,anger/image0001341.jpg,anger,0.8643037095291287,0,1,1,0.805,-0.6914
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001348.jpg,anger/image0001348.jpg,anger,0.7959220747289145,0,1,1,0.7571,-0.6367
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001375.jpg,anger/image0001375.jpg,fear,0.8585979811874793,1,1,1,0.7152,-0.5152
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001453.jpg,anger/image0001453.jpg,neutral,0.8156830508716799,6,3,2,0.2,0.0816
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001470.jpg,anger/image0001470.jpg,anger,0.7961243218737241,0,1,1,0.7573,-0.6369
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001516.jpg,anger/image0001516.jpg,anger,0.8648002745998637,0,1,1,0.8054,-0.6918
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001521.jpg,anger/image0001521.jpg,contempt,0.8409503415917376,4,2,1,0.3682,-0.3364
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001524.jpg,anger/image0001524.jpg,anger,0.8059280050378269,0,1,1,0.7641,-0.6447
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001527.jpg,anger/image0001527.jpg,anger,0.872593063825003,0,1,1,0.8108,-0.6981
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001529.jpg,anger/image0001529.jpg,anger,0.6811618720024811,0,1,1,0.6768,-0.5449
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001538.jpg,anger/image0001538.jpg,anger,0.8225432163253064,0,1,1,0.7758,-0.658
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001555.jpg,anger/image0001555.jpg,anger,0.8623529209581536,0,1,1,0.8036,-0.6899
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001568.jpg,anger/image0001568.jpg,anger,0.8664671724353874,0,1,1,0.8065,-0.6932
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001600.jpg,anger/image0001600.jpg,anger,0.8743744013136564,0,1,1,0.8121,-0.6995
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001615.jpg,anger/image0001615.jpg,disgust,0.7662437703974743,3,2,1,0.3532,-0.4597
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001623.jpg,anger/image0001623.jpg,anger,0.8974110955416487,0,1,1,0.8282,-0.7179
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001671.jpg,anger/image0001671.jpg,anger,0.7422899022500561,0,1,1,0.7196,-0.5938
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001688.jpg,anger/image0001688.jpg,anger,0.7792931008168881,0,1,1,0.7455,-0.6234
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001741.jpg,anger/image0001741.jpg,anger,0.84862807638917,0,1,1,0.794,-0.6789
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001765.jpg,anger/image0001765.jpg,disgust,0.8671540345920165,3,2,1,0.3734,-0.5203
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001773.jpg,anger/image0001773.jpg,disgust,0.8435550175363971,3,2,1,0.3687,-0.5061
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001778.jpg,anger/image0001778.jpg,disgust,0.8053876126460355,3,2,1,0.3611,-0.4832
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001794.jpg,anger/image0001794.jpg,anger,0.5373177591330883,0,1,1,0.5761,-0.4299
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001833.jpg,anger/image0001833.jpg,anger,0.8924776530714466,0,1,1,0.8247,-0.714
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001857.jpg,anger/image0001857.jpg,disgust,0.7992558170320013,3,2,1,0.3599,-0.4796
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001861.jpg,anger/image0001861.jpg,anger,0.7814118289397541,0,1,1,0.747,-0.6251
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001892.jpg,anger/image0001892.jpg,anger,0.861398700430287,0,1,1,0.803,-0.6891
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001916.jpg,anger/image0001916.jpg,sad,0.8180098987563991,3,2,1,0.2818,-0.5726
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001933.jpg,anger/image0001933.jpg,anger,0.8918523625265473,0,1,1,0.8243,-0.7135
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001934.jpg,anger/image0001934.jpg,disgust,0.8621725845552871,3,2,1,0.3724,-0.5173
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001956.jpg,anger/image0001956.jpg,happy,0.8774257503839145,2,0,0,0.6387,0.7897
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001974.jpg,anger/image0001974.jpg,disgust,0.8010239843347989,3,2,1,0.3602,-0.4806
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0001990.jpg,anger/image0001990.jpg,anger,0.8426352835186797,0,1,1,0.7898,-0.6741
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002009.jpg,anger/image0002009.jpg,anger,0.8829548715686752,0,1,1,0.8181,-0.7064
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002024.jpg,anger/image0002024.jpg,anger,0.8944587456657089,0,1,1,0.8261,-0.7156
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002046.jpg,anger/image0002046.jpg,disgust,0.7516103647197763,3,2,1,0.3503,-0.451
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002048.jpg,anger/image0002048.jpg,anger,0.6004016754395396,0,1,1,0.6203,-0.4803
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002049.jpg,anger/image0002049.jpg,anger,0.780668288138316,0,1,1,0.7465,-0.6245
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002080.jpg,anger/image0002080.jpg,surprise,0.8517821294524168,2,0,0,0.7111,0.5962
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002102.jpg,anger/image0002102.jpg,anger,0.8230668490787487,0,1,1,0.7761,-0.6585
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002105.jpg,anger/image0002105.jpg,surprise,0.7911455195991705,2,0,0,0.6747,0.5538
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002106.jpg,anger/image0002106.jpg,anger,0.8070101205710162,0,1,1,0.7649,-0.6456
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002140.jpg,anger/image0002140.jpg,anger,0.780388468701999,0,1,1,0.7463,-0.6243
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002143.jpg,anger/image0002143.jpg,anger,0.7725976874256121,0,1,1,0.7408,-0.6181
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002156.jpg,anger/image0002156.jpg,anger,0.8591256088446305,0,1,1,0.8014,-0.6873
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002205.jpg,anger/image0002205.jpg,anger,0.8180260190583831,0,1,1,0.7726,-0.6544
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002220.jpg,anger/image0002220.jpg,anger,0.6957492857409574,0,1,1,0.687,-0.5566
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002230.jpg,anger/image0002230.jpg,anger,0.8189121339507731,0,1,1,0.7732,-0.6551
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002259.jpg,anger/image0002259.jpg,disgust,0.806325591072355,3,2,1,0.3613,-0.4838
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002262.jpg,anger/image0002262.jpg,fear,0.8404215159117682,1,1,1,0.7043,-0.5043
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002272.jpg,anger/image0002272.jpg,anger,0.7974814982523392,0,1,1,0.7582,-0.638
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002281.jpg,anger/image0002281.jpg,anger,0.7637109267335471,0,1,1,0.7346,-0.611
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002301.jpg,anger/image0002301.jpg,disgust,0.8963239247495899,3,2,1,0.3793,-0.5378
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002340.jpg,anger/image0002340.jpg,surprise,0.8879589221348333,2,0,0,0.7328,0.6216
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002350.jpg,anger/image0002350.jpg,anger,0.7966617230699569,0,1,1,0.7577,-0.6373
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002366.jpg,anger/image0002366.jpg,anger,0.7997612725817304,0,1,1,0.7598,-0.6398
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002369.jpg,anger/image0002369.jpg,anger,0.799318811921742,0,1,1,0.7595,-0.6395
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002373.jpg,anger/image0002373.jpg,anger,0.7950165552084341,0,1,1,0.7565,-0.636
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002378.jpg,anger/image0002378.jpg,neutral,0.7856958226210091,6,3,2,0.2,0.0786
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002388.jpg,anger/image0002388.jpg,anger,0.7695695502919353,0,1,1,0.7387,-0.6157
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002420.jpg,anger/image0002420.jpg,anger,0.8422071113858864,0,1,1,0.7895,-0.6738
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002429.jpg,anger/image0002429.jpg,anger,0.744857750151503,0,1,1,0.7214,-0.5959
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002461.jpg,anger/image0002461.jpg,anger,0.8242403051905158,0,1,1,0.777,-0.6594
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002467.jpg,anger/image0002467.jpg,anger,0.8423043499143912,0,1,1,0.7896,-0.6738
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002475.jpg,anger/image0002475.jpg,disgust,0.8201021717113004,3,2,1,0.364,-0.4921
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002506.jpg,anger/image0002506.jpg,anger,0.8393945309152887,0,1,1,0.7876,-0.6715
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002507.jpg,anger/image0002507.jpg,anger,0.7233860659162318,0,1,1,0.7064,-0.5787
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002520.jpg,anger/image0002520.jpg,disgust,0.8826201054719016,3,2,1,0.3765,-0.5296
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002524.jpg,anger/image0002524.jpg,sad,0.6735501735671723,3,2,1,0.2674,-0.4715
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002532.jpg,anger/image0002532.jpg,anger,0.829883197633414,0,1,1,0.7809,-0.6639
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002539.jpg,anger/image0002539.jpg,anger,0.856670922855324,0,1,1,0.7997,-0.6853
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002578.jpg,anger/image0002578.jpg,anger,0.8995018971703856,0,1,1,0.8297,-0.7196
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002608.jpg,anger/image0002608.jpg,anger,0.7296628930890822,0,1,1,0.7108,-0.5837
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002635.jpg,anger/image0002635.jpg,anger,0.7974682247722826,0,1,1,0.7582,-0.638
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002636.jpg,anger/image0002636.jpg,anger,0.8007158406527031,0,1,1,0.7605,-0.6406
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002639.jpg,anger/image0002639.jpg,anger,0.8289598734946644,0,1,1,0.7803,-0.6632
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002667.jpg,anger/image0002667.jpg,anger,0.665523513740904,0,1,1,0.6659,-0.5324
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002685.jpg,anger/image0002685.jpg,anger,0.8099927923839769,0,1,1,0.767,-0.648
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002705.jpg,anger/image0002705.jpg,neutral,0.836413487714226,6,3,2,0.2,0.0836
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002706.jpg,anger/image0002706.jpg,anger,0.8436559768991445,0,1,1,0.7906,-0.6749
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002725.jpg,anger/image0002725.jpg,anger,0.8413182053384459,0,1,1,0.7889,-0.6731
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002740.jpg,anger/image0002740.jpg,fear,0.8693323038532671,1,1,1,0.7216,-0.5216
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002797.jpg,anger/image0002797.jpg,anger,0.8276542829550627,0,1,1,0.7794,-0.6621
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002800.jpg,anger/image0002800.jpg,anger,0.8239120341419528,0,1,1,0.7767,-0.6591
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002830.jpg,anger/image0002830.jpg,neutral,0.794326516037607,6,3,2,0.2,0.0794
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002840.jpg,anger/image0002840.jpg,sad,0.8770822177485348,3,2,1,0.2877,-0.614
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002894.jpg,anger/image0002894.jpg,anger,0.8117125088333045,0,1,1,0.7682,-0.6494
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002928.jpg,anger/image0002928.jpg,disgust,0.8194328332975213,3,2,1,0.3639,-0.4917
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002955.jpg,anger/image0002955.jpg,anger,0.876587001591251,0,1,1,0.8136,-0.7013
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002986.jpg,anger/image0002986.jpg,anger,0.8824221078246889,0,1,1,0.8177,-0.7059
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0002989.jpg,anger/image0002989.jpg,contempt,0.7666946416762059,4,2,1,0.3533,-0.3067
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0003003.jpg,anger/image0003003.jpg,sad,0.6777203830512809,3,2,1,0.2678,-0.4744
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0003013.jpg,anger/image0003013.jpg,anger,0.784047731164216,0,1,1,0.7488,-0.6272
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0003016.jpg,anger/image0003016.jpg,anger,0.7885574705792713,0,1,1,0.752,-0.6308
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0003019.jpg,anger/image0003019.jpg,anger,0.8349383844970186,0,1,1,0.7845,-0.668
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0003046.jpg,anger/image0003046.jpg,fear,0.8280869611234644,1,1,1,0.6969,-0.4969
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0003049.jpg,anger/image0003049.jpg,sad,0.869963865653078,3,2,1,0.287,-0.609
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0003053.jpg,anger/image0003053.jpg,anger,0.8756907557080416,0,1,1,0.813,-0.7006
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0003060.jpg,anger/image0003060.jpg,disgust,0.8261294842942906,3,2,1,0.3652,-0.4957
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0003112.jpg,anger/image0003112.jpg,anger,0.8097648961160335,0,1,1,0.7668,-0.6478
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0003116.jpg,anger/image0003116.jpg,fear,0.8778655048726297,1,1,1,0.7267,-0.5267
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0003133.jpg,anger/image0003133.jpg,anger,0.8462083532044085,0,1,1,0.7923,-0.677
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0003161.jpg,anger/image0003161.jpg,anger,0.8480294345566326,0,1,1,0.7936,-0.6784
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0003202.jpg,anger/image0003202.jpg,anger,0.6885930637584249,0,1,1,0.682,-0.5509
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0003212.jpg,anger/image0003212.jpg,contempt,0.8151183907106815,4,2,1,0.363,-0.326
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0003237.jpg,anger/image0003237.jpg,anger,0.8299834676848395,0,1,1,0.781,-0.664
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0003295.jpg,anger/image0003295.jpg,anger,0.8170262642604063,0,1,1,0.7719,-0.6536
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0003305.jpg,anger/image0003305.jpg,anger,0.8130526061365375,0,1,1,0.7691,-0.6504
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0003308.jpg,anger/image0003308.jpg,anger,0.8075465107751709,0,1,1,0.7653,-0.646
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0003315.jpg,anger/image0003315.jpg,anger,0.8046354743860771,0,1,1,0.7632,-0.6437
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0003325.jpg,anger/image0003325.jpg,anger,0.7067652209386118,0,1,1,0.6947,-0.5654
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0003330.jpg,anger/image0003330.jpg,anger,0.780947439943925,0,1,1,0.7467,-0.6248
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0003351.jpg,anger/image0003351.jpg,anger,0.8424130896601737,0,1,1,0.7897,-0.6739
